isin,ticker,exchange,name,currency,ter
FR0013416716,GOLD,Euronext Paris,Amundi Physical Gold ETC (C),EUR,0.12
FR0013416716,GLDA,XETRA,Amundi Physical Gold ETC (C),EUR,0.12
FR0013416716,GLDA,gettex,Amundi Physical Gold ETC (C),EUR,0.12
IE0032077012,EQQQ,gettex,Invesco EQQQ Nasdaq-100 UCITS ETF,EUR,0.3
IE0032077012,EQQQ,Stuttgart Stock Exchange,Invesco EQQQ Nasdaq-100 UCITS ETF,EUR,0.3
IE0032077012,EQQQ,Borsa Italiana,Invesco EQQQ Nasdaq-100 UCITS ETF,EUR,0.3
IE0032077012,EQQQ,Euronext Paris,Invesco EQQQ Nasdaq-100 UCITS ETF,EUR,0.3
IE0032077012,EQQQ,London Stock Exchange,Invesco EQQQ Nasdaq-100 UCITS ETF,GBX,0.3
IE0032077012,EQQU,London Stock Exchange,Invesco EQQQ Nasdaq-100 UCITS ETF,USD,0.3
IE0032077012,EQQQ,SIX Swiss Exchange,Invesco EQQQ Nasdaq-100 UCITS ETF,USD,0.3
